feature,importance
CLOSED_AMT_CREDIT_SUM_LIMIT_SUM,1
ORGANIZATION_TYPE_Government,1
CC_AMT_RECIVABLE_SUM,1
CC_AMT_RECIVABLE_MAX,1
CC_AMT_RECIVABLE_MIN,1
PREV_NAME_CONTRACT_TYPE_Revolving_loans_MEAN,1
CC_AMT_RECEIVABLE_PRINCIPAL_MAX,1
CC_AMT_PAYMENT_TOTAL_CURRENT_MEAN,1
CC_AMT_PAYMENT_TOTAL_CURRENT_MAX,1
PREV_CODE_REJECT_REASON_LIMIT_MEAN,1
ORGANIZATION_TYPE_Kindergarten,1
CC_AMT_INST_MIN_REGULARITY_MAX,1
CC_AMT_DRAWINGS_OTHER_CURRENT_VAR,1
CC_MONTHS_BALANCE_MEAN,1
CC_AMT_DRAWINGS_POS_CURRENT_MEAN,1
BURO_CREDIT_CURRENCY_currency_3_MEAN,1
CC_CNT_DRAWINGS_ATM_CURRENT_MAX,1
NONLIVINGAPARTMENTS_AVG,1
ACTIVE_MONTHS_BALANCE_MIN_MIN,1
PREV_NAME_CASH_LOAN_PURPOSE_Education_MEAN,1
PREV_NAME_CASH_LOAN_PURPOSE_Medicine_MEAN,1
PREV_NAME_CASH_LOAN_PURPOSE_Journey_MEAN,1
PREV_NAME_CASH_LOAN_PURPOSE_Urgent_needs_MEAN,1
BURO_STATUS_2_MEAN_MEAN,1
BURO_CREDIT_TYPE_Credit_card_MEAN,1
PREV_NAME_PAYMENT_TYPE_XNA_MEAN,1
CC_NAME_CONTRACT_STATUS_Signed_SUM,0
CC_NAME_CONTRACT_STATUS_Signed_MEAN,0
CC_NAME_CONTRACT_STATUS_Signed_MAX,0
CC_NAME_CONTRACT_STATUS_Demand_SUM,0
CC_AMT_DRAWINGS_OTHER_CURRENT_MIN,0
CC_AMT_DRAWINGS_OTHER_CURRENT_MEAN,0
CC_NAME_CONTRACT_STATUS_Demand_MAX,0
CC_AMT_DRAWINGS_CURRENT_MAX,0
CC_NAME_CONTRACT_STATUS_Demand_MEAN,0
CC_NAME_CONTRACT_STATUS_Signed_MIN,0
CC_NAME_CONTRACT_STATUS_Demand_MIN,0
CC_AMT_DRAWINGS_POS_CURRENT_MIN,0
CC_NAME_CONTRACT_STATUS_nan_MIN,0
APPROVED_AMT_CREDIT_MIN,0
CC_NAME_CONTRACT_STATUS_Refused_MIN,0
CC_NAME_CONTRACT_STATUS_Demand_VAR,0
CC_AMT_DRAWINGS_ATM_CURRENT_MIN,0
CC_NAME_CONTRACT_STATUS_nan_VAR,0
CC_NAME_CONTRACT_STATUS_Sent_proposal_SUM,0
CC_NAME_CONTRACT_STATUS_Sent_proposal_MAX,0
CC_NAME_CONTRACT_STATUS_Sent_proposal_MIN,0
CC_AMT_BALANCE_SUM,0
CC_NAME_CONTRACT_STATUS_Sent_proposal_VAR,0
POS_COUNT,0
CC_NAME_CONTRACT_STATUS_Refused_MAX,0
CC_AMT_DRAWINGS_POS_CURRENT_VAR,0
CC_NAME_CONTRACT_STATUS_nan_SUM,0
CC_AMT_DRAWINGS_CURRENT_MIN,0
CC_NAME_CONTRACT_STATUS_Refused_VAR,0
CC_NAME_CONTRACT_STATUS_Refused_SUM,0
CC_NAME_CONTRACT_STATUS_Refused_MEAN,0
CC_CNT_DRAWINGS_POS_CURRENT_MAX,0
CC_AMT_PAYMENT_TOTAL_CURRENT_MIN,0
CC_NAME_CONTRACT_STATUS_Completed_MEAN,0
CC_AMT_TOTAL_RECEIVABLE_SUM,0
CC_AMT_TOTAL_RECEIVABLE_MEAN,0
POS_NAME_CONTRACT_STATUS_Canceled_MEAN,0
POS_NAME_CONTRACT_STATUS_Approved_MEAN,0
CC_SK_DPD_MAX,0
POS_NAME_CONTRACT_STATUS_Amortized_debt_MEAN,0
CC_NAME_CONTRACT_STATUS_nan_MAX,0
CC_SK_DPD_MIN,0
CC_NAME_CONTRACT_STATUS_nan_MEAN,0
CC_AMT_TOTAL_RECEIVABLE_VAR,0
CC_SK_DPD_SUM,0
CC_CNT_DRAWINGS_ATM_CURRENT_MIN,0
CC_CNT_DRAWINGS_CURRENT_MIN,0
CC_CNT_DRAWINGS_OTHER_CURRENT_MIN,0
CC_CNT_INSTALMENT_MATURE_CUM_MIN,0
CC_CNT_DRAWINGS_OTHER_CURRENT_MAX,0
CC_CNT_DRAWINGS_OTHER_CURRENT_MEAN,0
CC_CNT_DRAWINGS_OTHER_CURRENT_SUM,0
REFUSED_HOUR_APPR_PROCESS_START_MAX,0
POS_NAME_CONTRACT_STATUS_Demand_MEAN,0
CC_SK_DPD_VAR,0
CC_NAME_CONTRACT_STATUS_Completed_MAX,0
POS_NAME_CONTRACT_STATUS_nan_MEAN,0
CC_NAME_CONTRACT_STATUS_Completed_MIN,0
CC_NAME_CONTRACT_STATUS_Approved_VAR,0
CC_NAME_CONTRACT_STATUS_Approved_SUM,0
CC_NAME_CONTRACT_STATUS_Approved_MEAN,0
