threshold,auc,accuracy,precision,recall,f1,business_cost,tn,fp,fn,tp
0.5699999999999997,0.779186972372057,0.7859906994894476,0.2106192190920003,0.6008056394763344,0.31189878711836055,31000,45357,11180,1982,2983
0.5799999999999997,0.779186972372057,0.7949822769991219,0.2150738034888922,0.581067472306143,0.31394526361608355,31329,46008,10529,2080,2885
0.5899999999999997,0.779186972372057,0.8041201912132939,0.22140047206923683,0.5667673716012085,0.31841584158415837,31406,46641,9896,2151,2814
0.5999999999999998,0.779186972372057,0.8117784787486586,0.22643383265745262,0.5510574018126888,0.32097606757390895,31637,47190,9347,2229,2736
0.6099999999999998,0.779186972372057,0.8195180644531885,0.2313217132346501,0.5319234642497482,0.32242705408375044,32016,47761,8776,2324,2641
0.6199999999999998,0.779186972372057,0.8273714675945498,0.23745819397993312,0.5148036253776435,0.3250047682624452,32298,48329,8208,2409,2556
0.6299999999999997,0.779186972372057,0.8343468505089265,0.24207407407407408,0.4936555891238671,0.32485089463220673,32814,48863,7674,2514,2451
0.6399999999999997,0.779186972372057,0.841566127930799,0.24781002638522429,0.4729103726082578,0.325207756232687,33297,49410,7127,2617,2348
0.6499999999999997,0.779186972372057,0.8486878475496732,0.25438497227565915,0.4527693856998993,0.3257498913200986,33759,49948,6589,2717,2248
0.6599999999999997,0.779186972372057,0.855338037787389,0.2610597958191541,0.4326283987915408,0.32562722655953913,34250,50457,6080,2817,2148
0.6699999999999997,0.779186972372057,0.862037006926604,0.26927110644992136,0.4136958710976838,0.3262129754625586,34684,50963,5574,2911,2054
0.6799999999999997,0.779186972372057,0.868719716431986,0.2792217014628604,0.3959718026183283,0.32750291520906216,35065,51462,5075,2999,1966
0.6899999999999997,0.779186972372057,0.874735780950213,0.288101500850998,0.37502517623363546,0.32586629331466577,35631,51936,4601,3103,1862
0.6999999999999996,0.779186972372057,0.8799063445091216,0.296246423161084,0.3544813695871098,0.32275811479919314,36231,52356,4181,3205,1760
0.7099999999999996,0.779186972372057,0.8848167539267016,0.3039777983348751,0.3309164149043303,0.3168756027000964,36982,52775,3762,3322,1643
0.7199999999999996,0.779186972372057,0.8901336541901076,0.3166189111747851,0.31158106747230613,0.31407978885392346,37519,53198,3339,3418,1547
0.7299999999999996,0.779186972372057,0.8940522259438718,0.32521974306964163,0.29063444108761327,0.30695596681557114,38214,53543,2994,3522,1443
0.7399999999999997,0.779186972372057,0.8984748463464602,0.33731874841007375,0.26706948640483386,0.2981115107913669,38995,53932,2605,3639,1326
0.7499999999999997,0.779186972372057,0.9021820428603948,0.3482529598613919,0.24290030211480362,0.2861888941623161,39847,54280,2257,3759,1206
0.7599999999999997,0.779186972372057,0.9057429026698319,0.36297760210803687,0.22195367573011077,0.2754655668041494,40564,54603,1934,3863,1102
0.7699999999999997,0.779186972372057,0.9090598679717733,0.38024408848207475,0.20080563947633434,0.26281797812046925,41305,54912,1625,3968,997
0.7799999999999997,0.779186972372057,0.9120191213293877,0.3982664233576642,0.17583081570996978,0.24395696520888638,42239,55218,1319,4092,873
0.7899999999999996,0.779186972372057,0.9144255471366785,0.41849015317286653,0.1540785498489426,0.2252318563226851,43063,55474,1063,4200,765
0.7999999999999996,0.779186972372057,0.9164092224643101,0.44133333333333336,0.13333333333333333,0.20479505027068834,43868,55699,838,4303,662
0.8099999999999996,0.779186972372057,0.9180026665799487,0.4676079734219269,0.11339375629405841,0.1825255308802075,44661,55896,641,4402,563
0.8199999999999996,0.779186972372057,0.9187506097362688,0.4827586206896552,0.09023162134944612,0.15204479891396572,45650,56057,480,4517,448
0.8299999999999996,0.779186972372057,0.9197424474000846,0.5212922173274597,0.07150050352467271,0.12575274530641165,46426,56211,326,4610,355
0.8399999999999996,0.779186972372057,0.9200838997105785,0.5520833333333334,0.05337361530715005,0.09733700642791553,47215,56322,215,4700,265
0.8499999999999996,0.779186972372057,0.919905043738415,0.5585585585585585,0.03746223564954683,0.07021517553793884,47937,56390,147,4779,186
0.8599999999999995,0.779186972372057,0.919872524470749,0.5920398009950248,0.023967774420946625,0.04607046070460704,48542,56455,82,4846,119
0.8699999999999996,0.779186972372057,0.9197424474000846,0.6283185840707964,0.014300100704934543,0.027963765261914138,48982,56495,42,4894,71
0.8799999999999996,0.779186972372057,0.9195798510617541,0.6938775510204082,0.006847935548841893,0.013562026326286397,49325,56522,15,4931,34
0.8899999999999996,0.779186972372057,0.9194172547234236,0.8461538461538461,0.002215508559919436,0.0044194455604660505,49542,56535,2,4954,11
0.8999999999999996,0.779186972372057,0.9192871776527592,0.6666666666666666,0.0004028197381671702,0.0008051529790660227,49631,56536,1,4963,2
